Segment	JD_start_day	JD_end_day	start_date	end_date
1	2457284	2457536	2015-09-18 12:00:00.000	2016-05-27 12:00:00.000
2	2457645	2457920	2016-09-13 12:00:00.000	2017-06-15 12:00:00.000
3A	2458016	2458142	2017-09-19 12:00:00.000	2018-01-23 12:00:00.000
3B	2458156	2458292	2018-02-06 12:00:00.000	2018-06-22 12:00:00.000
4	2458380	2458632	2018-09-18 12:00:00.000	2019-05-28 12:00:00.000
5	2458755	2459009	2019-09-28 12:00:00.000	2020-06-08 12:00:00.000
6	2459108	2459338	2020-09-15 12:00:00.000	2021-05-03 12:00:00.000
7	2459520	2459750	2021-11-01 12:00:00.000	2022-06-19 12:00:00.000
8	2459810	2459999	2022-08-18 12:00:00.000	2023-02-23 12:00:00.000
