# Time [MJD], Angular separation [deg]
5.815549985648148140e+04,1.726338348388671875e+02
5.815597704991065257e+04,1.722823944091796875e+02
5.815645424333983101e+04,1.718341827392578125e+02
5.815693143676900218e+04,1.714965209960937500e+02
5.815740863019818062e+04,1.710561065673828125e+02
5.815788582362735178e+04,1.706777954101562500e+02
5.815836301705653023e+04,1.702899169921875000e+02
5.815884021048570139e+04,1.698540802001953125e+02
5.815931740391487983e+04,1.694992828369140625e+02
5.815979459734405100e+04,1.690485992431640625e+02
5.816027179077322944e+04,1.686856231689453125e+02
5.816074898420240061e+04,1.682473297119140625e+02
5.816122617763157905e+04,1.678532257080078125e+02
5.816170337106075021e+04,1.674665832519531250e+02
5.816218056448992866e+04,1.670189361572265625e+02
5.816265775791909982e+04,1.666700439453125000e+02
5.816313495134827826e+04,1.662025604248046875e+02
5.816361214477744943e+04,1.658282928466796875e+02
5.816408933820662787e+04,1.654130249023437500e+02
5.816456653163579904e+04,1.649877166748046875e+02
5.816504372506497748e+04,1.646277008056640625e+02
5.816552091849414865e+04,1.640941314697265625e+02
5.816599811192332709e+04,1.637479400634765625e+02
5.816647530535249825e+04,1.632911682128906250e+02
5.816695249878167670e+04,1.629082641601562500e+02
5.816742969221084786e+04,1.625011444091796875e+02
5.816790688564002630e+04,1.620630493164062500e+02
5.816838407906919747e+04,1.616895599365234375e+02
5.816886127249837591e+04,1.612316284179687500e+02
5.816933846592754708e+04,1.608685913085937500e+02
5.816981565935672552e+04,1.604131927490234375e+02
5.817029285278589668e+04,1.600226287841796875e+02
5.817077004621507513e+04,1.596251220703125000e+02
5.817124723964424629e+04,1.591789093017578125e+02
5.817172443307342473e+04,1.588312225341796875e+02
5.817220162650259590e+04,1.583577423095703125e+02
5.817267881993177434e+04,1.579882507324218750e+02
5.817315601336094551e+04,1.575648956298828125e+02
5.817363320679012395e+04,1.571468505859375000e+02
5.817411040021929512e+04,1.567750396728515625e+02
5.817458759364847356e+04,1.563039703369140625e+02
5.817506478707764472e+04,1.559518585205078125e+02
5.817554198050682317e+04,1.554977874755859375e+02
