# Time [MJD], Angular separation [deg]
5.728350008796295879e+04,4.460551452636718750e+01
5.728391503648635990e+04,4.501431655883789062e+01
5.728432998500976828e+04,4.542858886718750000e+01
5.728474493353316939e+04,4.579945755004882812e+01
5.728515988205657050e+04,4.624317932128906250e+01
5.728557483057997160e+04,4.658978271484375000e+01
5.728598977910337999e+04,4.704250717163085938e+01
5.728640472762678110e+04,4.741535568237304688e+01
5.728681967615018220e+04,4.781744384765625000e+01
5.728723462467359059e+04,4.824242019653320312e+01
5.728764957319699170e+04,4.859342575073242188e+01
5.728806452172039280e+04,4.905688858032226562e+01
5.728847947024380119e+04,4.940911865234375000e+01
5.728889441876720230e+04,4.983812713623046875e+01
5.728930936729060340e+04,5.023301315307617188e+01
5.728972431581400451e+04,5.060425567626953125e+01
5.729013926433741290e+04,5.105744171142578125e+01
5.729055421286081400e+04,5.139813613891601562e+01
5.729096916138421511e+04,5.184621429443359375e+01
5.729138410990762350e+04,5.222068023681640625e+01
5.729179905843102460e+04,5.262251663208007812e+01
5.729221400695442571e+04,5.304994583129882812e+01
5.729262895547783410e+04,5.341719436645507812e+01
5.729304390400123521e+04,5.386534881591796875e+01
5.729345885252463631e+04,5.421980285644531250e+01
5.729387380104803742e+04,5.466731262207031250e+01
5.729428874957144581e+04,5.504803848266601562e+01
5.729470369809484691e+04,5.543891143798828125e+01
5.729511864661824802e+04,5.587572097778320312e+01
5.729553359514165641e+04,5.621666717529296875e+01
5.729594854366505751e+04,5.668152236938476562e+01
5.729636349218845862e+04,5.704147720336914062e+01
5.729677844071186701e+04,5.746355056762695312e+01
5.729719338923526811e+04,5.787262344360351562e+01
5.729760833775866922e+04,5.824010848999023438e+01
5.729802328628207033e+04,5.870249176025390625e+01
5.729843823480547871e+04,5.904758071899414062e+01
5.729885318332887982e+04,5.949569702148437500e+01
5.729926813185228093e+04,5.987921905517578125e+01
5.729968308037568931e+04,6.027082443237304688e+01
5.730009802889909042e+04,6.070960617065429688e+01
