# Time [MJD], Angular separation [deg]
5.951951852623370360e+04,8.850122070312500000e+01
5.951992485410172958e+04,8.891271972656250000e+01
5.952033118196975556e+04,8.928606414794921875e+01
5.952073750983778154e+04,8.974048614501953125e+01
5.952114383770581480e+04,9.010130310058593750e+01
5.952155016557384079e+04,9.055455017089843750e+01
5.952195649344186677e+04,9.098731994628906250e+01
5.952236282130989275e+04,9.138493347167968750e+01
5.952276914917791873e+04,9.182750701904296875e+01
5.952317547704594472e+04,9.218997955322265625e+01
5.952358180491397798e+04,9.264654541015625000e+01
5.952398813278200396e+04,9.301478576660156250e+01
5.952439446065002994e+04,9.343724060058593750e+01
5.952480078851805592e+04,9.385296630859375000e+01
5.952520711638608191e+04,9.422309112548828125e+01
5.952561344425410789e+04,9.469107055664062500e+01
5.952601977212213387e+04,9.504309082031250000e+01
5.952642609999016713e+04,9.549562835693359375e+01
5.952683242785819311e+04,9.588693237304687500e+01
5.952723875572621910e+04,9.630417633056640625e+01
5.952764508359424508e+04,9.672859954833984375e+01
5.952805141146227106e+04,9.709088134765625000e+01
5.952845773933029704e+04,9.754866027832031250e+01
5.952886406719832303e+04,9.791940307617187500e+01
5.952927039506635629e+04,9.834125518798828125e+01
5.952967672293438227e+04,9.876065826416015625e+01
5.953008305080240825e+04,9.912414550781250000e+01
5.953048937867043423e+04,9.959416198730468750e+01
5.953089570653846022e+04,9.994820404052734375e+01
5.953130203440648620e+04,1.003980865478515625e+02
5.953170836227451946e+04,1.007922210693359375e+02
5.953211469014254544e+04,1.011877365112304688e+02
5.953252101801057142e+04,1.016373062133789062e+02
5.953292734587859741e+04,1.019990386962890625e+02
5.953333367374662339e+04,1.024577255249023438e+02
5.953374000161464937e+04,1.028305892944335938e+02
5.953414632948267536e+04,1.032711944580078125e+02
5.953455265735070861e+04,1.036740951538085938e+02
5.953495898521873460e+04,1.040385055541992188e+02
5.953536531308676058e+04,1.045097732543945312e+02
5.953577164095478656e+04,1.048659667968750000e+02
5.953617796882281255e+04,1.053082885742187500e+02
5.953658429669083853e+04,1.057060089111328125e+02
5.953699062455887179e+04,1.060990066528320312e+02
5.953739695242689777e+04,1.065529708862304688e+02
5.953780328029492375e+04,1.069140548706054688e+02
5.953820960816294973e+04,1.073739929199218750e+02
5.953861593603097572e+04,1.077486572265625000e+02
5.953902226389900170e+04,1.081688842773437500e+02
5.953942859176702768e+04,1.085945434570312500e+02
5.953983491963506094e+04,1.089584045410156250e+02
5.954024124750308692e+04,1.094310760498046875e+02
5.954064757537111291e+04,1.097891311645507812e+02
5.954105390323913889e+04,1.102322845458984375e+02
5.954146023110716487e+04,1.106326293945312500e+02
5.954186655897519086e+04,1.110192337036132812e+02
5.954227288684322411e+04,1.114769287109375000e+02
5.954267921471125010e+04,1.118364334106445312e+02
5.954308554257927608e+04,1.122962646484375000e+02
5.954349187044730206e+04,1.126756210327148438e+02
5.954389819831532805e+04,1.130948715209960938e+02
5.954430452618335403e+04,1.135232543945312500e+02
5.954471085405138001e+04,1.138874588012695312e+02
5.954511718191941327e+04,1.143619842529296875e+02
5.954552350978743925e+04,1.147220840454101562e+02
5.954592983765546524e+04,1.151657333374023438e+02
