# Time [MJD], Angular separation [deg]
5.910750016898148169e+04,4.238296508789062500e+01
5.910791160924950964e+04,4.277133560180664062e+01
5.910832304951753758e+04,4.315083312988281250e+01
5.910873448978556553e+04,4.359094619750976562e+01
5.910914593005359347e+04,4.393296051025390625e+01
5.910955737032162142e+04,4.479103469848632812e+01
5.910996881058964937e+04,4.521854782104492188e+01
5.911038025085767731e+04,4.561640930175781250e+01
5.911079169112570526e+04,4.598587799072265625e+01
5.911120313139373320e+04,4.643946456909179688e+01
5.911161457166176115e+04,4.677840423583984375e+01
5.911202601192978909e+04,4.722542953491210938e+01
5.911243745219781704e+04,4.760065460205078125e+01
5.911284889246584498e+04,4.799759674072265625e+01
5.911326033273387293e+04,4.842680740356445312e+01
5.911367177300190815e+04,4.877510452270507812e+01
5.911408321326993610e+04,4.923825073242187500e+01
5.911449465353796404e+04,4.959387969970703125e+01
5.911490609380599199e+04,5.002110671997070312e+01
5.911531753407401993e+04,5.042210388183593750e+01
5.911572897434204788e+04,5.080986785888671875e+01
5.911614041461007582e+04,5.124786758422851562e+01
5.911655185487810377e+04,5.158750152587890625e+01
5.911696329514613171e+04,5.205072021484375000e+01
5.911737473541415966e+04,5.241324615478515625e+01
5.911778617568218760e+04,5.282618331909179688e+01
5.911819761595021555e+04,5.323734283447265625e+01
5.911860905621824350e+04,5.359943771362304688e+01
5.911902049648627144e+04,5.406155014038085938e+01
5.911943193675429939e+04,5.440588760375976562e+01
5.911984337702232733e+04,5.485000228881835938e+01
5.912025481729035528e+04,5.523666000366210938e+01
5.912066625755838322e+04,5.562423324584960938e+01
5.912107769782641117e+04,5.606692504882812500e+01
5.912148913809443911e+04,5.640756225585937500e+01
5.912190057836246706e+04,5.687230682373046875e+01
5.912231201863049500e+04,5.723690795898437500e+01
5.912272345889852295e+04,5.766950225830078125e+01
5.912313489916655089e+04,5.806429290771484375e+01
5.912354633943457884e+04,5.843808746337890625e+01
5.912395777970260679e+04,5.888393020629882812e+01
5.912436921997063473e+04,5.923172378540039062e+01
5.912478066023866268e+04,5.969080734252929688e+01
5.912519210050669062e+04,6.006448745727539062e+01
5.912560354077471857e+04,6.047159957885742188e+01
5.912601498104275379e+04,6.089831542968750000e+01
5.912642642131078173e+04,6.125229644775390625e+01
5.912683786157880968e+04,6.171860885620117188e+01
5.912724930184683762e+04,6.207209014892578125e+01
5.912766074211486557e+04,6.250492095947265625e+01
5.912807218238289352e+04,6.290302276611328125e+01
5.912848362265092146e+04,6.327747726440429688e+01
5.912889506291894941e+04,6.373297500610351562e+01
5.912930650318697735e+04,6.407918548583984375e+01
5.912971794345500530e+04,6.452982330322265625e+01
5.913012938372303324e+04,6.490685272216796875e+01
5.913054082399106119e+04,6.533365631103515625e+01
5.913095226425908913e+04,6.574246978759765625e+01
5.913136370452711708e+04,6.611286163330078125e+01
5.913177514479514502e+04,6.656458282470703125e+01
5.913218658506317297e+04,6.692163085937500000e+01
5.913259802533120092e+04,6.737175750732421875e+01
5.913300946559922886e+04,6.775531005859375000e+01
5.913342090586725681e+04,6.814907073974609375e+01
5.913383234613528475e+04,6.858922576904296875e+01
5.913424378640331270e+04,6.893265533447265625e+01
5.913465522667134064e+04,6.940090942382812500e+01
5.913506666693936859e+04,6.976535797119140625e+01
5.913547810720739653e+04,7.019012451171875000e+01
5.913588954747542448e+04,7.060303497314453125e+01
5.913630098774345242e+04,7.097268676757812500e+01
5.913671242801148037e+04,7.143806457519531250e+01
5.913712386827950832e+04,7.178603363037109375e+01
5.913753530854753626e+04,7.223759460449218750e+01
5.913794674881557148e+04,7.262548828125000000e+01
5.913835818908359943e+04,7.304026794433593750e+01
5.913876962935162737e+04,7.346294403076171875e+01
5.913918106961965532e+04,7.382175445556640625e+01
5.913959250988768326e+04,7.429113769531250000e+01
5.914000395015571121e+04,7.464451599121093750e+01
5.914041539042373915e+04,7.508306884765625000e+01
5.914082683069176710e+04,7.548050689697265625e+01
5.914123827095979505e+04,7.586699676513671875e+01
5.914164971122782299e+04,7.632203674316406250e+01
5.914206115149585094e+04,7.666713714599609375e+01
5.914247259176387888e+04,7.713413238525390625e+01
5.914288403203190683e+04,7.750987243652343750e+01
5.914329547229993477e+04,7.792426300048828125e+01
5.914370691256796272e+04,7.835029602050781250e+01
5.914411835283599066e+04,7.870935058593750000e+01
5.914452979310401861e+04,7.918046569824218750e+01
5.914494123337204655e+04,7.953538513183593750e+01
5.914535267364007450e+04,7.997392272949218750e+01
5.914576411390810244e+04,8.037404632568359375e+01
5.914617555417613039e+04,8.077545928955078125e+01
5.914658699444415834e+04,8.121350097656250000e+01
5.914699843471218628e+04,8.156781768798828125e+01
5.914740987498021423e+04,8.204070281982421875e+01
5.914782131524824217e+04,8.240372467041015625e+01
5.914823275551627012e+04,8.283840179443359375e+01
5.914864419578429806e+04,8.324878692626953125e+01
5.914905563605232601e+04,8.362488555908203125e+01
5.914946707632035395e+04,8.409107971191406250e+01
5.914987851658838918e+04,8.443747711181640625e+01
5.915028995685641712e+04,8.489381408691406250e+01
5.915070139712444507e+04,8.527958679199218750e+01
5.915111283739247301e+04,8.567833709716796875e+01
5.915152427766050096e+04,8.611994171142578125e+01
5.915193571792852890e+04,8.647179412841796875e+01
5.915234715819655685e+04,8.694538116455078125e+01
5.915275859846458479e+04,8.731140899658203125e+01
5.915317003873261274e+04,8.776256561279296875e+01
5.915358147900064068e+04,8.815750885009765625e+01
5.915399291926866863e+04,8.855200958251953125e+01
5.915440435953669657e+04,8.900240325927734375e+01
5.915481579980472452e+04,8.935196685791015625e+01
5.915522724007275247e+04,8.982483673095703125e+01
5.915563868034078041e+04,9.019686889648437500e+01
5.915605012060880836e+04,9.061658477783203125e+01
5.915646156087683630e+04,9.104080200195312500e+01
5.915687300114486425e+04,9.140370941162109375e+01
5.915728444141289219e+04,9.187655639648437500e+01
5.915769588168092014e+04,9.223124694824218750e+01
5.915810732194894808e+04,9.268013763427734375e+01
5.915851876221697603e+04,9.307856750488281250e+01
5.915893020248500397e+04,9.347196960449218750e+01
5.915934164275303192e+04,9.392826843261718750e+01
5.915975308302105987e+04,9.428854370117187500e+01
5.916016452328908781e+04,9.474906158447265625e+01
5.916057596355711576e+04,9.512493896484375000e+01
5.916098740382514370e+04,9.556483459472656250e+01
5.916139884409317165e+04,9.597085571289062500e+01
5.916181028436119959e+04,9.635189056396484375e+01
5.916222172462923481e+04,9.681710815429687500e+01
5.916263316489726276e+04,9.716600799560546875e+01
5.916304460516529070e+04,9.762670898437500000e+01
5.916345604543331865e+04,9.801151275634765625e+01
5.916386748570134660e+04,9.842383575439453125e+01
5.916427892596937454e+04,9.886323547363281250e+01
5.916469036623740249e+04,9.922344207763671875e+01
5.916510180650543043e+04,9.969953155517578125e+01
5.916551324677345838e+04,1.000641403198242188e+02
5.916592468704148632e+04,1.005048675537109375e+02
5.916633612730951427e+04,1.009147720336914062e+02
5.916674756757754221e+04,1.012955932617187500e+02
5.916715900784557016e+04,1.017637786865234375e+02
5.916757044811359810e+04,1.021133651733398438e+02
5.916798188838162605e+04,1.025906753540039062e+02
5.916839332864965399e+04,1.029613265991210938e+02
5.916880476891768194e+04,1.033910827636718750e+02
5.916921620918570989e+04,1.038123779296875000e+02
5.916962764945373783e+04,1.041875991821289062e+02
5.917003908972176578e+04,1.046613540649414062e+02
5.917045052998979372e+04,1.050159149169921875e+02
5.917086197025782167e+04,1.054744644165039062e+02
5.917127341052584961e+04,1.058704376220703125e+02
5.917168485079387756e+04,1.062705230712890625e+02
5.917209629106190550e+04,1.067217025756835938e+02
5.917250773132993345e+04,1.070720901489257812e+02
5.917291917159796139e+04,1.075491485595703125e+02
5.917333061186598934e+04,1.079229660034179688e+02
5.917374205213401729e+04,1.083484802246093750e+02
5.917415349240205251e+04,1.087726593017578125e+02
5.917456493267008045e+04,1.091450347900390625e+02
5.917497637293810840e+04,1.096216278076171875e+02
5.917538781320613634e+04,1.099778594970703125e+02
5.917579925347416429e+04,1.104515838623046875e+02
5.917621069374219223e+04,1.108337173461914062e+02
5.917662213401022018e+04,1.112539291381835938e+02
5.917703357427824812e+04,1.116893920898437500e+02
5.917744501454627607e+04,1.120539398193359375e+02
5.917785645481430402e+04,1.125327529907226562e+02
5.917826789508233196e+04,1.128939208984375000e+02
5.917867933535035991e+04,1.133395156860351562e+02
5.917909077561838785e+04,1.137473754882812500e+02
