# Time [MJD], Angular separation [deg]
5.980950008796295879e+04,1.494926452636718750e+01
5.980990653947630199e+04,1.528928279876708984e+01
5.981031299098963791e+04,1.570111656188964844e+01
5.981071944250298111e+04,1.608230781555175781e+01
5.981112589401632431e+04,1.644087600708007812e+01
5.981153234552966751e+04,1.687615966796875000e+01
5.981193879704300343e+04,1.720630836486816406e+01
5.981234524855634663e+04,1.763813018798828125e+01
5.981275170006968983e+04,1.800109100341796875e+01
5.981315815158303303e+04,1.838241004943847656e+01
5.981356460309636896e+04,1.879544639587402344e+01
5.981397105460971216e+04,1.912659835815429688e+01
5.981437750612305535e+04,1.957343482971191406e+01
5.981478395763639855e+04,1.991881179809570312e+01
5.981519040914973448e+04,2.033123016357421875e+01
5.981559686066307768e+04,2.071851539611816406e+01
5.981600331217642088e+04,2.107773780822753906e+01
5.981640976368976408e+04,2.151853370666503906e+01
5.981681621520310000e+04,2.185090827941894531e+01
5.981722266671644320e+04,2.228445243835449219e+01
5.981762911822978640e+04,2.265147781372070312e+01
5.981803556974312960e+04,2.303358268737792969e+01
5.981844202125646552e+04,2.345152091979980469e+01
5.981884847276980872e+04,2.378459358215332031e+01
5.981925492428315192e+04,2.423439788818359375e+01
5.981966137579648785e+04,2.458438682556152344e+01
5.982006782730983105e+04,2.498975944519042969e+01
5.982047427882317425e+04,2.538242530822753906e+01
5.982088073033651744e+04,2.574023056030273438e+01
5.982128718184985337e+04,2.617530441284179688e+01
5.982169363336319657e+04,2.652103424072265625e+01
5.982210008487653977e+04,2.695533561706542969e+01
5.982250653638988297e+04,2.732569694519042969e+01
5.982291298790321889e+04,2.768918800354003906e+01
5.982331943941656209e+04,2.812994194030761719e+01
5.982372589092990529e+04,2.846432495117187500e+01
5.982413234244324849e+04,2.890177917480468750e+01
5.982453879395658441e+04,2.926878929138183594e+01
5.982494524546992761e+04,2.965448188781738281e+01
5.982535169698327081e+04,3.007221412658691406e+01
5.982575814849661401e+04,3.040728950500488281e+01
5.982616460000994994e+04,3.085943984985351562e+01
5.982657105152329314e+04,3.120940589904785156e+01
5.982697750303663634e+04,3.162590026855468750e+01
5.982738395454997953e+04,3.201730728149414062e+01
5.982779040606331546e+04,3.238019943237304688e+01
5.982819685757665866e+04,3.282512283325195312e+01
5.982860330909000186e+04,3.316048431396484375e+01
5.982900976060334506e+04,3.359813308715820312e+01
5.982941621211668098e+04,3.396835327148437500e+01
5.982982266363002418e+04,3.435396575927734375e+01
5.983022911514336738e+04,3.477515029907226562e+01
5.983063556665670330e+04,3.511091613769531250e+01
5.983104201817004650e+04,3.556430816650390625e+01
5.983144846968338970e+04,3.591742324829101562e+01
5.983185492119673290e+04,3.632593917846679688e+01
5.983226137271006883e+04,3.672266769409179688e+01
5.983266782422341203e+04,3.708279800415039062e+01
5.983307427573675523e+04,3.752126312255859375e+01
5.983348072725009843e+04,3.786994171142578125e+01
5.983388717876343435e+04,3.830746841430664062e+01
5.983429363027677755e+04,3.868060302734375000e+01
5.983470008179012075e+04,3.906551742553710938e+01
5.983510653330346395e+04,3.949194335937500000e+01
5.983551298481679987e+04,3.982905578613281250e+01
5.983591943633014307e+04,4.027007675170898438e+01
5.983632588784348627e+04,4.064049530029296875e+01
5.983673233935682947e+04,4.104916381835937500e+01
5.983713879087016539e+04,4.145003509521484375e+01
5.983754524238350859e+04,4.178646469116210938e+01
5.983795169389685179e+04,4.224203491210937500e+01
5.983835814541019499e+04,4.259462738037109375e+01
5.983876459692353092e+04,4.301392364501953125e+01
5.983917104843687412e+04,4.340866851806640625e+01
5.983957749995021732e+04,4.377394485473632812e+01
5.983998395146355324e+04,4.422280502319335938e+01
5.984039040297689644e+04,4.456096267700195312e+01
5.984079685449023964e+04,4.500168609619140625e+01
5.984120330600358284e+04,4.537546157836914062e+01
5.984160975751691876e+04,4.576342391967773438e+01
5.984201620903026196e+04,4.618907546997070312e+01
5.984242266054360516e+04,4.652732467651367188e+01
5.984282911205694836e+04,4.698398590087890625e+01
5.984323556357028428e+04,4.733988571166992188e+01
5.984364201508362748e+04,4.775131225585937500e+01
5.984404846659697068e+04,4.815154647827148438e+01
5.984445491811031388e+04,4.851293563842773438e+01
5.984486136962364981e+04,4.896580123901367188e+01
5.984526782113699301e+04,4.930634307861328125e+01
5.984567427265033621e+04,4.974674224853515625e+01
5.984608072416367941e+04,5.012283325195312500e+01
5.984648717567701533e+04,5.051052856445312500e+01
5.984689362719035853e+04,5.094043350219726562e+01
5.984730007870370173e+04,5.128009414672851562e+01
5.984770653021704493e+04,5.173780441284179688e+01
5.984811298173038085e+04,5.209695053100585938e+01
5.984851943324372405e+04,5.250853347778320312e+01
5.984892588475706725e+04,5.291217803955078125e+01
5.984933233627040318e+04,5.326764678955078125e+01
5.984973878778374637e+04,5.371136474609375000e+01
5.985014523929708957e+04,5.406701278686523438e+01
5.985055169081043277e+04,5.462661361694335938e+01
5.985095814232376870e+04,5.499313735961914062e+01
5.985136459383711190e+04,5.541774749755859375e+01
5.985177104535045510e+04,5.581215286254882812e+01
5.985217749686379830e+04,5.618249130249023438e+01
5.985258394837713422e+04,5.662383270263671875e+01
5.985299039989047742e+04,5.697297668457031250e+01
