# Time [MJD], Angular separation [deg]
5.837950013425925863e+04,4.483053207397460938e+01
5.837991189898404991e+04,4.517712402343750000e+01
5.838032366370884847e+04,4.562769317626953125e+01
5.838073542843363975e+04,4.600026321411132812e+01
5.838114719315843831e+04,4.640092086791992188e+01
5.838155895788322960e+04,4.682580184936523438e+01
5.838197072260802088e+04,4.717599487304687500e+01
5.838238248733281944e+04,4.763855361938476562e+01
5.838279425205761072e+04,4.799127960205078125e+01
5.838320601678240928e+04,4.841948318481445312e+01
5.838361778150720056e+04,4.881581878662109375e+01
5.838402954623199184e+04,4.918596649169921875e+01
5.838444131095679040e+04,4.963987731933593750e+01
5.838485307568158169e+04,4.997918319702148438e+01
5.838526484040638024e+04,5.042694854736328125e+01
5.838567660513117153e+04,5.080163955688476562e+01
5.838608836985596281e+04,5.120098495483398438e+01
5.838650013458076137e+04,5.162961578369140625e+01
5.838691189930555265e+04,5.199528503417968750e+01
5.838732366403035121e+04,5.244359970092773438e+01
5.838773542875514249e+04,5.279907226562500000e+01
5.838814719347994105e+04,5.324462509155273438e+01
5.838855895820473233e+04,5.362707138061523438e+01
5.838897072292952362e+04,5.401702117919921875e+01
5.838938248765432218e+04,5.445435714721679688e+01
5.838979425237911346e+04,5.479465103149414062e+01
5.839020601710391202e+04,5.525850296020507812e+01
5.839061778182870330e+04,5.562064361572265625e+01
5.839102954655349458e+04,5.603524017333984375e+01
5.839144131127829314e+04,5.647003555297851562e+01
5.839185307600308442e+04,5.685286712646484375e+01
5.839226484072788298e+04,5.729665374755859375e+01
5.839267660545267427e+04,5.764228439331054688e+01
5.839308837017746555e+04,5.810403060913085938e+01
5.839350013490226411e+04,5.847466278076171875e+01
5.839391189962705539e+04,5.888459014892578125e+01
5.839432366435185395e+04,5.930545425415039062e+01
5.839473542907664523e+04,5.966078948974609375e+01
5.839514719380143652e+04,6.012651062011718750e+01
5.839555895852623507e+04,6.047742462158203125e+01
5.839597072325102636e+04,6.091138076782226562e+01
5.839638248797582492e+04,6.130641174316406250e+01
5.839679425270061620e+04,6.168664932250976562e+01
5.839720601742540748e+04,6.213940048217773438e+01
5.839761778215020604e+04,6.249075317382812500e+01
5.839802954687499732e+04,6.294180679321289062e+01
5.839844131159979588e+04,6.331542968750000000e+01
5.839885307632458716e+04,6.374644851684570312e+01
5.839926484104937845e+04,6.415113067626953125e+01
5.839967660577417701e+04,6.452395629882812500e+01
5.840008837049896829e+04,6.498491668701171875e+01
5.840050013522376685e+04,6.532775115966796875e+01
5.840091189994855813e+04,6.578029632568359375e+01
5.840132366467334941e+04,6.616172027587890625e+01
5.840173542939814797e+04,6.655767822265625000e+01
5.840214719412293925e+04,6.699269104003906250e+01
5.840255895884773781e+04,6.734278106689453125e+01
5.840297072357252910e+04,6.781169128417968750e+01
5.840338248829732765e+04,6.817322540283203125e+01
5.840379425302211894e+04,6.860307312011718750e+01
5.840420601774691022e+04,6.901158905029296875e+01
5.840461778247170878e+04,6.940277862548828125e+01
5.840502954719650006e+04,6.984786224365234375e+01
5.840544131192129862e+04,7.019316101074218750e+01
5.840585307664608990e+04,7.066149902343750000e+01
5.840626484137088119e+04,7.102899932861328125e+01
5.840667660609567974e+04,7.144571685791015625e+01
5.840708837082047103e+04,7.186382293701171875e+01
5.840750013554526959e+04,7.222477722167968750e+01
5.840791190027006087e+04,7.269218444824218750e+01
5.840832366499485215e+04,7.304264831542968750e+01
5.840873542971965071e+04,7.348992919921875000e+01
5.840914719444444199e+04,7.388212585449218750e+01
5.840955895916924055e+04,7.427244567871093750e+01
5.840997072389403183e+04,7.472266387939453125e+01
5.841038248861882312e+04,7.512556457519531250e+01
5.841079425334362168e+04,7.559606933593750000e+01
5.841120601806841296e+04,7.595142364501953125e+01
5.841161778279321152e+04,7.638805389404296875e+01
5.841202954751800280e+04,7.678938293457031250e+01
5.841244131224279408e+04,7.716709899902343750e+01
5.841285307696759264e+04,7.762606048583984375e+01
5.841326484169238392e+04,7.797673034667968750e+01
5.841367660641718248e+04,7.843286132812500000e+01
5.841408837114197377e+04,7.881244659423828125e+01
5.841450013586676505e+04,7.924355316162109375e+01
5.841491190059156361e+04,7.965514373779296875e+01
5.841532366531635489e+04,8.002904510498046875e+01
5.841573543004115345e+04,8.049562835693359375e+01
5.841614719476594473e+04,8.084223175048828125e+01
5.841655895949073602e+04,8.129605865478515625e+01
5.841697072421553457e+04,8.168241882324218750e+01
5.841738248894032586e+04,8.207978820800781250e+01
5.841779425366512442e+04,8.252195739746093750e+01
5.841820601838991570e+04,8.286811065673828125e+01
5.841861778311470698e+04,8.334014892578125000e+01
5.841902954783950554e+04,8.370687103271484375e+01
5.841944131256429682e+04,8.413639068603515625e+01
5.841985307728909538e+04,8.455151367187500000e+01
5.842026484201388666e+04,8.494377136230468750e+01
5.842067660673868522e+04,8.539424133300781250e+01
5.842108837146347651e+04,8.574448394775390625e+01
5.842150013618826779e+04,8.621539306640625000e+01
5.842191190091306635e+04,8.658886718750000000e+01
5.842232366563785763e+04,8.700740051269531250e+01
5.842273543036265619e+04,8.743196105957031250e+01
5.842314719508744747e+04,8.779392242431640625e+01
5.842355895981223875e+04,8.826554107666015625e+01
5.842397072453703731e+04,8.862080383300781250e+01
5.842438248926182860e+04,8.906540679931640625e+01
5.842479425398662715e+04,8.946459960937500000e+01
5.842520601871141844e+04,8.985581970214843750e+01
5.842561778343620972e+04,9.031271362304687500e+01
5.842602954816100828e+04,9.066045379638671875e+01
5.842644131288579956e+04,9.113204956054687500e+01
5.842685307761059812e+04,9.150942993164062500e+01
5.842726484233538940e+04,9.194890594482421875e+01
5.842767660706018069e+04,9.235604858398437500e+01
5.842808837178497924e+04,9.273589324951171875e+01
5.842850013650977053e+04,9.319281768798828125e+01
5.842891190123456909e+04,9.355034637451171875e+01
5.842932366595936037e+04,9.401020050048828125e+01
5.842973543068415165e+04,9.439499664306640625e+01
5.843014719540895021e+04,9.480412292480468750e+01
5.843055896013374149e+04,9.524465179443359375e+01
5.843097072485854005e+04,9.560317230224609375e+01
5.843138248958333133e+04,9.607946777343750000e+01
5.843179425430812262e+04,9.644444274902343750e+01
5.843220601903292118e+04,9.688392639160156250e+01
5.843261778375771246e+04,9.729553985595703125e+01
5.843302954848251102e+04,9.767538452148437500e+01
5.843344131320730230e+04,9.814453887939453125e+01
5.843385307793209358e+04,9.849365234375000000e+01
5.843426484265689214e+04,9.895417022705078125e+01
5.843467660738168343e+04,9.934232330322265625e+01
5.843508837210648198e+04,9.976693725585937500e+01
5.843550013683127327e+04,1.001892013549804688e+02
5.843591190155607183e+04,1.005623550415039062e+02
5.843632366628086311e+04,1.010239486694335938e+02
5.843673543100565439e+04,1.013914718627929688e+02
5.843714719573045295e+04,1.018475875854492188e+02
5.843755896045524423e+04,1.022438812255859375e+02
5.843797072518004279e+04,1.026426544189453125e+02
5.843838248990483407e+04,1.030952453613281250e+02
5.843879425462962536e+04,1.034449539184570312e+02
5.843920601935442392e+04,1.039214324951171875e+02
5.843961778407921520e+04,1.042952041625976562e+02
5.844002954880401376e+04,1.047194290161132812e+02
5.844044131352880504e+04,1.051438903808593750e+02
5.844085307825359632e+04,1.055129089355468750e+02
5.844126484297839488e+04,1.059883956909179688e+02
5.844167660770318616e+04,1.063448028564453125e+02
5.844208837242798472e+04,1.067996749877929688e+02
5.844250013715277601e+04,1.071986923217773438e+02
5.844291190187756729e+04,1.076170578002929688e+02
5.844332366660236585e+04,1.080533981323242188e+02
5.844373543132715713e+04,1.084168167114257812e+02
5.844414719605195569e+04,1.088948822021484375e+02
5.844455896077674697e+04,1.092556838989257812e+02
5.844497072550153825e+04,1.096995010375976562e+02
5.844538249022633681e+04,1.101069869995117188e+02
5.844579425495112810e+04,1.104909286499023438e+02
5.844620601967592665e+04,1.109566802978515625e+02
5.844661778440071794e+04,1.113072357177734375e+02
5.844702954912550922e+04,1.117770385742187500e+02
5.844744131385030778e+04,1.121619873046875000e+02
5.844785307857509906e+04,1.125792999267578125e+02
5.844826484329989762e+04,1.130184478759765625e+02
5.844867660802468890e+04,1.133987045288085938e+02
5.844908837274948019e+04,1.138606719970703125e+02
5.844950013747427874e+04,1.142249832153320312e+02
5.844991190219907003e+04,1.146862792968750000e+02
5.845032366692386859e+04,1.150778732299804688e+02
5.845073543164865987e+04,1.154818649291992188e+02
5.845114719637345843e+04,1.159300308227539062e+02
5.845155896109824971e+04,1.162815780639648438e+02
5.845197072582304099e+04,1.167605514526367188e+02
5.845238249054783955e+04,1.171324615478515625e+02
5.845279425527263083e+04,1.175695877075195312e+02
5.845320601999742939e+04,1.179899368286132812e+02
5.845361778472222068e+04,1.183693618774414062e+02
5.845402954944701196e+04,1.188451156616210938e+02
5.845444131417181052e+04,1.191999435424804688e+02
5.845485307889660180e+04,1.196618270874023438e+02
5.845526484362140036e+04,1.200566711425781250e+02
5.845567660834619164e+04,1.204606323242187500e+02
5.845608837307098293e+04,1.209122467041015625e+02
5.845650013779578148e+04,1.212794189453125000e+02
5.845691190252057277e+04,1.217449111938476562e+02
5.845732366724537133e+04,1.221189193725585938e+02
5.845773543197016261e+04,1.225717620849609375e+02
5.845814719669495389e+04,1.229760818481445312e+02
5.845855896141975245e+04,1.233722763061523438e+02
5.845897072614454373e+04,1.238302917480468750e+02
5.845938249086934229e+04,1.241869659423828125e+02
5.845979425559413357e+04,1.246647644042968750e+02
5.846020602031892486e+04,1.250462875366210938e+02
5.846061778504372342e+04,1.254704132080078125e+02
