# tmin_mjd tmax_mjd luminosity luminosity_err
5.87545e+04 5.87672e+04 2.02019e+46 2.24286e+32
5.87672e+04 5.87799e+04 1.12609e+44 1.25021e+30
5.87799e+04 5.87926e+04 2.94052e+44 3.26463e+30
5.87926e+04 5.88053e+04 9.54921e+44 1.06018e+31
5.88053e+04 5.88180e+04 7.94727e+44 8.82325e+30
5.88180e+04 5.88307e+04 9.73390e+44 1.08068e+31
5.88307e+04 5.88434e+04 1.54570e+41 1.71607e+27
5.88434e+04 5.88561e+04 2.86972e+45 3.18603e+31
5.88561e+04 5.88688e+04 1.72304e+39 1.91295e+25
5.88688e+04 5.88815e+04 7.28017e+43 8.08261e+29
5.88815e+04 5.88942e+04 8.53332e+39 9.47388e+25
5.88942e+04 5.89069e+04 1.89084e+39 2.09925e+25
5.89069e+04 5.89196e+04 3.14015e+43 3.48627e+29
5.89196e+04 5.89323e+04 3.18750e+43 3.53884e+29
5.89323e+04 5.89450e+04 7.45925e+45 8.28143e+31
5.89450e+04 5.89577e+04 3.58795e+44 3.98343e+30
5.89577e+04 5.89704e+04 1.04612e+45 1.16142e+31
5.89704e+04 5.89831e+04 1.43466e+44 1.59279e+30
5.89831e+04 5.89958e+04 1.23424e+46 1.37028e+32
5.89958e+04 5.90085e+04 6.77042e+43 7.51668e+29
