# tmin_mjd tmax_mjd luminosity luminosity_err
5.72835e+04 5.74068e+04 1.00618e+46 1.11708e+32
5.74068e+04 5.75301e+04 6.63576e+45 7.36717e+31
5.75301e+04 5.76534e+04 3.29305e+45 3.65601e+31
5.76534e+04 5.77767e+04 2.21507e+45 2.45922e+31
5.77767e+04 5.79000e+04 8.17113e+44 9.07178e+30
5.79000e+04 5.80233e+04 2.68988e+44 2.98636e+30
5.80233e+04 5.81466e+04 2.39852e+45 2.66290e+31
5.81466e+04 5.82699e+04 1.25465e+45 1.39295e+31
5.82699e+04 5.83932e+04 9.68375e+44 1.07511e+31
5.83932e+04 5.85165e+04 1.78364e+45 1.98023e+31
5.85165e+04 5.86398e+04 4.94640e+45 5.49161e+31
5.86398e+04 5.87631e+04 7.16607e+45 7.95593e+31
5.87631e+04 5.88864e+04 1.14522e+45 1.27145e+31
5.88864e+04 5.90097e+04 1.07920e+45 1.19815e+31
5.90097e+04 5.91330e+04 8.40492e+44 9.33133e+30
5.91330e+04 5.92563e+04 2.76457e+44 3.06929e+30
5.92563e+04 5.93796e+04 4.33973e+45 4.81807e+31
5.93796e+04 5.95029e+04 7.46489e+45 8.28769e+31
5.95029e+04 5.96262e+04 4.33346e+44 4.81110e+30
5.96262e+04 5.97495e+04 2.92743e+44 3.25010e+30
