# tmin_mjd tmax_mjd luminosity luminosity_err
5.72835e+04 5.72961e+04 1.30625e+45 1.45023e+31
5.72961e+04 5.73087e+04 8.55455e+45 9.49746e+31
5.73087e+04 5.73213e+04 3.91822e+45 4.35010e+31
5.73213e+04 5.73339e+04 2.77386e+45 3.07960e+31
5.73339e+04 5.73465e+04 1.86227e+45 2.06753e+31
5.73465e+04 5.73591e+04 2.37386e+46 2.63551e+32
5.73591e+04 5.73717e+04 3.93567e+46 4.36947e+32
5.73717e+04 5.73843e+04 2.69082e+46 2.98742e+32
5.73843e+04 5.73969e+04 1.61249e+46 1.79022e+32
5.73969e+04 5.74095e+04 1.91618e+46 2.12739e+32
5.74095e+04 5.74221e+04 1.19669e+45 1.32859e+31
5.74221e+04 5.74347e+04 2.09285e+46 2.32354e+32
5.74347e+04 5.74473e+04 5.42423e+45 6.02211e+31
5.74473e+04 5.74599e+04 6.66726e+45 7.40214e+31
5.74599e+04 5.74725e+04 1.45484e+46 1.61520e+32
5.74725e+04 5.74851e+04 1.99766e+46 2.21785e+32
5.74851e+04 5.74977e+04 1.27949e+45 1.42052e+31
5.74977e+04 5.75103e+04 3.26734e+45 3.62748e+31
5.75103e+04 5.75229e+04 1.74696e+46 1.93952e+32
5.75229e+04 5.75355e+04 2.11033e+45 2.34293e+31
