# tmin_mjd tmax_mjd luminosity luminosity_err
5.76445e+04 5.76583e+04 8.36956e+44 9.29207e+30
5.76583e+04 5.76720e+04 2.11926e+45 2.35286e+31
5.76720e+04 5.76858e+04 1.80578e+45 2.00482e+31
5.76858e+04 5.76995e+04 2.22394e+45 2.46907e+31
5.76995e+04 5.77133e+04 2.66536e+45 2.95915e+31
5.77133e+04 5.77270e+04 7.79976e+44 8.65948e+30
5.77270e+04 5.77408e+04 7.36369e+45 8.17534e+31
5.77408e+04 5.77545e+04 3.32260e+44 3.68882e+30
5.77545e+04 5.77683e+04 1.51827e+45 1.68562e+31
5.77683e+04 5.77820e+04 8.18211e+44 9.08397e+30
5.77820e+04 5.77958e+04 3.63791e+45 4.03889e+31
5.77958e+04 5.78095e+04 1.88395e+45 2.09161e+31
5.78095e+04 5.78233e+04 1.87717e+45 2.08408e+31
5.78233e+04 5.78370e+04 2.92746e+45 3.25014e+31
5.78370e+04 5.78508e+04 8.18811e+44 9.09063e+30
5.78508e+04 5.78645e+04 4.90593e+45 5.44667e+31
5.78645e+04 5.78783e+04 1.37385e+44 1.52528e+30
5.78783e+04 5.78920e+04 7.98114e+44 8.86084e+30
5.78920e+04 5.79058e+04 9.99847e+45 1.11005e+32
5.79058e+04 5.79195e+04 1.06400e+44 1.18127e+30
