# Time [MJD], Angular separation [deg]
5.801549987962962769e+04,4.605347061157226562e+01
5.801591164422204020e+04,4.640643692016601562e+01
5.801632340881445270e+04,4.686755752563476562e+01
5.801673517340685794e+04,4.721520233154296875e+01
5.801714693799927045e+04,4.764600372314453125e+01
5.801755870259168296e+04,4.803666305541992188e+01
5.801797046718409547e+04,4.841663742065429688e+01
5.801838223177650798e+04,4.886434173583984375e+01
5.801879399636891321e+04,4.921419906616210938e+01
5.801920576096132572e+04,4.966339874267578125e+01
5.801961752555373823e+04,5.003277587890625000e+01
5.802002929014615074e+04,5.046126937866210938e+01
5.802044105473856325e+04,5.086001586914062500e+01
5.802085281933096849e+04,5.123058319091796875e+01
5.802126458392338100e+04,5.168637847900390625e+01
5.802167634851579351e+04,5.202640533447265625e+01
5.802208811310820602e+04,5.247516632080078125e+01
5.802249987770061853e+04,5.285219573974609375e+01
5.802291164229302376e+04,5.324829864501953125e+01
5.802332340688543627e+04,5.367924880981445312e+01
5.802373517147784878e+04,5.402853012084960938e+01
5.802414693607026129e+04,5.449260711669921875e+01
5.802455870066267380e+04,5.484988403320312500e+01
5.802497046525507903e+04,5.527782440185546875e+01
5.802538222984749154e+04,5.568033981323242188e+01
5.802579399443990405e+04,5.605069351196289062e+01
5.802620575903231656e+04,5.650930404663085938e+01
5.802661752362472907e+04,5.685013580322265625e+01
5.802702928821713431e+04,5.729942703247070312e+01
5.802744105280954682e+04,5.767876434326171875e+01
5.802785281740195933e+04,5.809303283691406250e+01
5.802826458199437184e+04,5.850573348999023438e+01
5.802867634658678435e+04,5.886901092529296875e+01
5.802908811117918958e+04,5.933275604248046875e+01
5.802949987577160209e+04,5.967939376831054688e+01
5.802991164036401460e+04,6.012500000000000000e+01
5.803032340495642711e+04,6.051306533813476562e+01
5.803073516954883962e+04,6.090196228027343750e+01
5.803114693414124486e+04,6.134584426879882812e+01
5.803155869873365737e+04,6.168774795532226562e+01
5.803197046332606988e+04,6.215374374389648438e+01
5.803238222791848239e+04,6.251933670043945312e+01
5.803279399251088762e+04,6.293369674682617188e+01
5.803320575710330013e+04,6.334959411621093750e+01
5.803361752169571264e+04,6.370789337158203125e+01
5.803402928628812515e+04,6.417287445068359375e+01
5.803444105088053766e+04,6.452152252197265625e+01
5.803485281547294289e+04,6.498270416259765625e+01
5.803526458006535540e+04,6.535736083984375000e+01
5.803567634465776791e+04,6.576598358154296875e+01
5.803608810925018042e+04,6.619371795654296875e+01
5.803649987384259293e+04,6.654932403564453125e+01
5.803691163843499817e+04,6.701721954345703125e+01
5.803732340302741068e+04,6.737055969238281250e+01
5.803773516761982319e+04,6.780543518066406250e+01
5.803814693221223570e+04,6.820424652099609375e+01
5.803855869680464821e+04,6.858019256591796875e+01
5.803897046139705344e+04,6.903707885742187500e+01
5.803938222598946595e+04,6.938619995117187500e+01
5.803979399058187846e+04,6.984029388427734375e+01
5.804020575517429097e+04,7.021825408935546875e+01
5.804061751976670348e+04,7.062616729736328125e+01
5.804102928435910871e+04,7.105733489990234375e+01
5.804144104895152122e+04,7.142966461181640625e+01
5.804185281354393373e+04,7.188295745849609375e+01
5.804226457813634624e+04,7.224052429199218750e+01
5.804267634272875875e+04,7.269316101074218750e+01
5.804308810732116399e+04,7.307725524902343750e+01
5.804349987191357650e+04,7.347336578369140625e+01
5.804391163650598901e+04,7.391367340087890625e+01
5.804432340109840152e+04,7.425850677490234375e+01
5.804473516569081403e+04,7.472829437255859375e+01
5.804514693028321926e+04,7.509347534179687500e+01
5.804555869487563177e+04,7.552067565917968750e+01
5.804597045946804428e+04,7.593344116210937500e+01
5.804638222406045679e+04,7.630542755126953125e+01
