# Time [MJD], Angular separation [deg]
5.728350008796295879e+04,4.460551452636718750e+01
5.728391314135619177e+04,4.501431655883789062e+01
5.728432619474941748e+04,4.542858886718750000e+01
5.728473924814265047e+04,4.579945755004882812e+01
5.728515230153588345e+04,4.624317932128906250e+01
5.728556535492910916e+04,4.658978271484375000e+01
5.728597840832234215e+04,4.704250717163085938e+01
5.728639146171557513e+04,4.741535568237304688e+01
5.728680451510880084e+04,4.781744384765625000e+01
5.728721756850203383e+04,4.824242019653320312e+01
5.728763062189526681e+04,4.859342575073242188e+01
5.728804367528849252e+04,4.905688858032226562e+01
5.728845672868172551e+04,4.940911865234375000e+01
5.728886978207495122e+04,4.983812713623046875e+01
5.728928283546818420e+04,5.023301315307617188e+01
5.728969588886141719e+04,5.060425567626953125e+01
5.729010894225464290e+04,5.105744171142578125e+01
5.729052199564787588e+04,5.139813613891601562e+01
5.729093504904110887e+04,5.184621429443359375e+01
5.729134810243433458e+04,5.222068023681640625e+01
5.729176115582756756e+04,5.262251663208007812e+01
5.729217420922080055e+04,5.304994583129882812e+01
5.729258726261402626e+04,5.341719436645507812e+01
5.729300031600725924e+04,5.386534881591796875e+01
5.729341336940049223e+04,5.421980285644531250e+01
5.729382642279371794e+04,5.466731262207031250e+01
5.729423947618695092e+04,5.504803848266601562e+01
5.729465252958018391e+04,5.543891143798828125e+01
5.729506558297340962e+04,5.587572097778320312e+01
5.729547863636664260e+04,5.621666717529296875e+01
5.729589168975987559e+04,5.668152236938476562e+01
5.729630474315310130e+04,5.704147720336914062e+01
5.729671779654633428e+04,5.746355056762695312e+01
5.729713084993955999e+04,5.787262344360351562e+01
5.729754390333279298e+04,5.824010848999023438e+01
5.729795695672602596e+04,5.870249176025390625e+01
5.729837001011925167e+04,5.904758071899414062e+01
5.729878306351248466e+04,5.949569702148437500e+01
5.729919611690571764e+04,5.987921905517578125e+01
5.729960917029894335e+04,6.027082443237304688e+01
5.730002222369217634e+04,6.070960617065429688e+01
5.730043527708540933e+04,6.106633758544921875e+01
5.730084833047863503e+04,6.151795578002929688e+01
5.730126138387186802e+04,6.188140487670898438e+01
5.730167443726510101e+04,6.232063293457031250e+01
5.730208749065832671e+04,6.271328735351562500e+01
5.730250054405155970e+04,6.309927749633789062e+01
5.730291359744479269e+04,6.354456329345703125e+01
5.730332665083801840e+04,6.389044952392578125e+01
5.730373970423125138e+04,6.435536956787109375e+01
5.730415275762448437e+04,6.472575378417968750e+01
5.730456581101771008e+04,6.513830566406250000e+01
5.730497886441094306e+04,6.555852508544921875e+01
5.730539191780416877e+04,6.591602325439453125e+01
5.730580497119740176e+04,6.638325500488281250e+01
5.730621802459063474e+04,6.673445892333984375e+01
5.730663107798386045e+04,6.717076873779296875e+01
5.730704413137709344e+04,6.756554412841796875e+01
5.730745718477032642e+04,6.795144653320312500e+01
5.730787023816355213e+04,6.840341949462890625e+01
5.730828329155678512e+04,6.875801849365234375e+01
5.730869634495001810e+04,6.921166992187500000e+01
5.730910939834324381e+04,6.958361053466796875e+01
5.730952245173647680e+04,7.001803588867187500e+01
5.730993550512970978e+04,7.042058563232421875e+01
5.731034855852293549e+04,7.079537963867187500e+01
5.731076161191616848e+04,7.124714660644531250e+01
5.731117466530940146e+04,7.160028076171875000e+01
5.731158771870262717e+04,7.205461120605468750e+01
5.731200077209586016e+04,7.243497467041015625e+01
5.731241382548909314e+04,7.283989715576171875e+01
5.731282687888231885e+04,7.327452850341796875e+01
5.731323993227555184e+04,7.362915039062500000e+01
5.731365298566878482e+04,7.410018920898437500e+01
5.731406603906201053e+04,7.446060180664062500e+01
5.731447909245524352e+04,7.489527130126953125e+01
5.731489214584846923e+04,7.530078887939453125e+01
5.731530519924170221e+04,7.567692565917968750e+01
5.731571825263493520e+04,7.613977050781250000e+01
5.731613130602816091e+04,7.648484802246093750e+01
5.731654435942139389e+04,7.694009399414062500e+01
5.731695741281462688e+04,7.732275390625000000e+01
5.731737046620785259e+04,7.774600219726562500e+01
5.731778351960108557e+04,7.816167449951171875e+01
5.731819657299431856e+04,7.853215789794921875e+01
5.731860962638754427e+04,7.900002288818359375e+01
5.731902267978077725e+04,7.934979248046875000e+01
5.731943573317401024e+04,7.980268859863281250e+01
5.731984878656723595e+04,8.019300842285156250e+01
5.732026183996046893e+04,8.058854675292968750e+01
5.732067489335370192e+04,8.103381347656250000e+01
5.732108794674692763e+04,8.137989807128906250e+01
5.732150100014016061e+04,8.185060882568359375e+01
5.732191405353339360e+04,8.221947479248046875e+01
5.732232710692661931e+04,8.264000701904296875e+01
5.732274016031985229e+04,8.305794525146484375e+01
5.732315321371307800e+04,8.342800140380859375e+01
5.732356626710631099e+04,8.389733886718750000e+01
5.732397932049954397e+04,8.424871826171875000e+01
5.732439237389276968e+04,8.471729278564453125e+01
5.732480542728600267e+04,8.514619445800781250e+01
5.732521848067923565e+04,8.558370971679687500e+01
5.732563153407246136e+04,8.598996734619140625e+01
5.732604458746569435e+04,8.636842346191406250e+01
5.732645764085892733e+04,8.683272552490234375e+01
5.732687069425215304e+04,8.717963409423828125e+01
5.732728374764538603e+04,8.763758850097656250e+01
5.732769680103861901e+04,8.802130889892578125e+01
5.732810985443184472e+04,8.842868804931640625e+01
5.732852290782507771e+04,8.886709594726562500e+01
5.732893596121831069e+04,8.922474670410156250e+01
5.732934901461153640e+04,8.969877624511718750e+01
5.732976206800476939e+04,9.006230926513671875e+01
