# Time [MJD], Angular separation [deg]
5.764449984490740462e+04,4.046174240112304688e+01
5.764491029304864060e+04,4.081175231933593750e+01
5.764532074118988385e+04,4.127218627929687500e+01
5.764573118933111982e+04,4.162137603759765625e+01
5.764614163747235580e+04,4.204858779907226562e+01
5.764655208561359905e+04,4.244182586669921875e+01
5.764696253375483502e+04,4.281167984008789062e+01
5.764737298189607100e+04,4.326230239868164062e+01
5.764778343003731425e+04,4.360397338867187500e+01
5.764819387817855022e+04,4.405031585693359375e+01
5.764860432631978620e+04,4.442266845703125000e+01
5.764901477446102217e+04,4.482324600219726562e+01
5.764942522260226542e+04,4.524760818481445312e+01
5.764983567074350140e+04,4.561346054077148438e+01
5.765024611888473737e+04,4.605955886840820312e+01
5.765065656702598062e+04,4.641181945800781250e+01
5.765106701516721660e+04,4.685710906982421875e+01
5.765147746330845257e+04,4.723576736450195312e+01
5.765188791144969582e+04,4.762515640258789062e+01
5.765229835959093180e+04,4.805965805053710938e+01
5.765270880773216777e+04,4.839894866943359375e+01
5.765311925587341102e+04,4.886116790771484375e+01
5.765352970401464700e+04,4.922066879272460938e+01
5.765394015215588297e+04,4.964131164550781250e+01
5.765435060029712622e+04,5.004837417602539062e+01
5.765476104843836220e+04,5.041430282592773438e+01
5.765517149657959817e+04,5.087445449829101562e+01
5.765558194472083414e+04,5.121788406372070312e+01
5.765599239286207739e+04,5.166406250000000000e+01
5.765640284100331337e+04,5.204573440551757812e+01
5.765681328914454934e+04,5.243566131591796875e+01
5.765722373728579259e+04,5.287272262573242188e+01
5.765763418542702857e+04,5.322746658325195312e+01
5.765804463356826454e+04,5.367733764648437500e+01
5.765845508170950779e+04,5.403943252563476562e+01
5.765886552985074377e+04,5.447565078735351562e+01
5.765927597799197974e+04,5.486478805541992188e+01
5.765968642613322299e+04,5.524463653564453125e+01
5.766009687427445897e+04,5.568629074096679688e+01
5.766050732241569494e+04,5.602727508544921875e+01
5.766091777055693819e+04,5.648597717285156250e+01
5.766132821869817417e+04,5.685197830200195312e+01
