# Time [MJD], Angular separation [deg]
5.728350008796295879e+04,4.460551452636718750e+01
5.728391118087275390e+04,4.501431655883789062e+01
5.728432227378254902e+04,4.542858886718750000e+01
5.728473336669234413e+04,4.579945755004882812e+01
5.728514445960213197e+04,4.624317932128906250e+01
5.728555555251192709e+04,4.658978271484375000e+01
5.728596664542172221e+04,4.704250717163085938e+01
5.728637773833151732e+04,4.741535568237304688e+01
5.728678883124131244e+04,4.781744384765625000e+01
5.728719992415110755e+04,4.824242019653320312e+01
5.728761101706089539e+04,4.859342575073242188e+01
5.728802210997069051e+04,4.905688858032226562e+01
5.728843320288048562e+04,4.940911865234375000e+01
5.728884429579028074e+04,4.983812713623046875e+01
5.728925538870007586e+04,5.023301315307617188e+01
5.728966648160987097e+04,5.060425567626953125e+01
5.729007757451965881e+04,5.105744171142578125e+01
5.729048866742945393e+04,5.139813613891601562e+01
5.729089976033924904e+04,5.184621429443359375e+01
5.729131085324904416e+04,5.222068023681640625e+01
5.729172194615883927e+04,5.262251663208007812e+01
5.729213303906863439e+04,5.304994583129882812e+01
5.729254413197842950e+04,5.341719436645507812e+01
5.729295522488821734e+04,5.386534881591796875e+01
5.729336631779801246e+04,5.421980285644531250e+01
5.729377741070780758e+04,5.466731262207031250e+01
5.729418850361760269e+04,5.504803848266601562e+01
5.729459959652739781e+04,5.543891143798828125e+01
5.729501068943719292e+04,5.587572097778320312e+01
5.729542178234698076e+04,5.621666717529296875e+01
5.729583287525677588e+04,5.668152236938476562e+01
5.729624396816657099e+04,5.704147720336914062e+01
5.729665506107636611e+04,5.746355056762695312e+01
5.729706615398616123e+04,5.787262344360351562e+01
5.729747724689595634e+04,5.824010848999023438e+01
5.729788833980575146e+04,5.870249176025390625e+01
5.729829943271553930e+04,5.904758071899414062e+01
5.729871052562533441e+04,5.949569702148437500e+01
5.729912161853512953e+04,5.987921905517578125e+01
5.729953271144492464e+04,6.027082443237304688e+01
5.729994380435471976e+04,6.070960617065429688e+01
5.730035489726451488e+04,6.106633758544921875e+01
5.730076599017430271e+04,6.151795578002929688e+01
5.730117708308409783e+04,6.188140487670898438e+01
5.730158817599389295e+04,6.232063293457031250e+01
5.730199926890368806e+04,6.271328735351562500e+01
5.730241036181348318e+04,6.309927749633789062e+01
5.730282145472327829e+04,6.354456329345703125e+01
5.730323254763306613e+04,6.389044952392578125e+01
5.730364364054286125e+04,6.435536956787109375e+01
5.730405473345265636e+04,6.472575378417968750e+01
5.730446582636245148e+04,6.513830566406250000e+01
5.730487691927224660e+04,6.555852508544921875e+01
5.730528801218204171e+04,6.591602325439453125e+01
5.730569910509183683e+04,6.638325500488281250e+01
5.730611019800162467e+04,6.673445892333984375e+01
5.730652129091141978e+04,6.717076873779296875e+01
5.730693238382121490e+04,6.756554412841796875e+01
5.730734347673101001e+04,6.795144653320312500e+01
5.730775456964080513e+04,6.840341949462890625e+01
5.730816566255060025e+04,6.875801849365234375e+01
5.730857675546038809e+04,6.921166992187500000e+01
5.730898784837018320e+04,6.958361053466796875e+01
5.730939894127997832e+04,7.001803588867187500e+01
